Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1),Mass Attenuation Coeff (Lg-1cm-1)
Wavelength (nm),TIPS-Tc,PbS-TET-CA
883,8.19E-04,0.3296
882,0.00246,0.32576
881,0.00141,0.32338
880,-3.74E-04,0.32764
879,0.00252,0.33914
878,0.00191,0.3373
877,0.00164,0.33628
876,0.0027,0.34072
875,0.00487,0.3455
874,0.00506,0.33612
873,0.0021,0.33436
872,-0.00119,0.33602
871,6.25E-04,0.34144
870,0.00488,0.35178
869,-0.00125,0.35242
868,0.0012,0.34348
867,0.00735,0.35168
866,0.00757,0.35812
865,0.00383,0.35812
864,3.84E-04,0.35772
863,0.0058,0.36624
851,0.01217,0.39238
850,0.009,0.39416
849,0.00747,0.3975
848,0.0097,0.40014
847,0.00713,0.39462
846,0.00368,0.39536
845,0.00509,0.40388
844,0.00698,0.40526
843,0.00539,0.40342
842,0.00456,0.40318
841,0.00364,0.40426
840,0.00394,0.40596
839,0.00366,0.40666
838,0.00347,0.40958
837,0.00249,0.41066
836,0.00217,0.40884
835,0.00233,0.41046
834,0.00103,0.4114
833,4.33E-04,0.41592
832,8.89E-04,0.42316
831,7.04E-04,0.42306
830,1.39E-04,0.42306
829,9.44E-04,0.42508
828,0.00102,0.42518
827,6.13E-04,0.42914
826,0.00153,0.43588
825,0.00152,0.4378
824,0.00174,0.43854
823,0.00266,0.44212
822,0.00216,0.4425
821,0.00251,0.44308
820,0.00312,0.44756
819,0.00257,0.45124
818,0.00302,0.45282
817,0.00282,0.45298
816,0.00159,0.45368
815,0.00303,0.45966
814,0.00357,0.46578
813,0.00187,0.4669
812,0.00158,0.46752
811,0.00323,0.47106
810,0.00275,0.47172
809,0.00319,0.47502
808,0.00375,0.47954
807,0.00253,0.48058
806,0.00216,0.48074
805,0.00259,0.48594
804,0.00285,0.49
803,0.00262,0.48996
802,0.00283,0.49272
801,0.00241,0.49274
800,0.00439,0.49694
799,0.00494,0.50148
798,0.0036,0.50288
797,0.00397,0.50338
796,0.0033,0.50442
795,0.00115,0.51016
794,0.00352,0.51446
793,0.00324,0.51392
792,0.00249,0.51392
791,0.00304,0.51634
790,0.00248,0.51902
789,8.02E-04,0.51878
788,0.00257,0.52598
787,0.00389,0.5311
786,0.00362,0.534
785,9.77E-04,0.53184
784,0.00203,0.53418
783,0.00208,0.53638
782,0.00287,0.54118
781,0.00306,0.54244
780,0.00238,0.54256
779,0.00286,0.54628
778,0.00358,0.5504
777,0.0033,0.55212
776,0.00337,0.559
775,0.00227,0.55842
774,0.00146,0.5581
773,0.00158,0.55994
772,0.00207,0.56228
771,0.00135,0.56112
770,0.00507,0.57
769,0.00515,0.5741
768,0.0018,0.57296
767,0.0019,0.57656
766,0.00221,0.58042
765,0.00103,0.58292
764,0.00194,0.58502
763,0.00172,0.58468
762,0.00213,0.5867
761,0.0012,0.5896
760,4.21E-04,0.59248
759,1.92E-04,0.59416
758,0.00262,0.60214
757,0.00224,0.60364
756,3.24E-04,0.60258
755,6.84E-04,0.60934
754,6.94E-04,0.60952
753,4.33E-04,0.60996
752,0.00223,0.61806
751,0.00164,0.61718
750,-1.32E-04,0.6202
749,0.00183,0.62224
748,0.00124,0.6248
747,-7.80E-04,0.62618
746,0.00137,0.63342
745,0.00292,0.63564
744,-2.12E-04,0.6355
743,6.34E-04,0.63812
742,0.00199,0.64374
741,0.00179,0.64456
740,0.00148,0.64962
739,0.00134,0.65142
738,0.00117,0.65394
737,9.17E-04,0.65736
736,0.00164,0.66076
735,9.82E-04,0.6628
734,0.00222,0.66794
733,0.00117,0.66922
732,0.00114,0.67234
731,0.00181,0.67338
730,0.00146,0.67966
729,-0.00145,0.67712
728,0.00189,0.68754
727,4.65E-04,0.6851
726,-4.07E-04,0.68642
725,-4.99E-04,0.6913
724,0.00141,0.69612
723,0.00167,0.6987
722,0.00201,0.70556
721,0.00185,0.70608
720,-6.34E-04,0.7034
719,-6.69E-04,0.70924
718,1.26E-04,0.71328
717,-5.49E-04,0.71502
716,0.00377,0.72688
715,4.19E-04,0.7267
714,-0.00112,0.7286
713,0.00111,0.73246
712,4.18E-04,0.7333
711,0.00109,0.73954
710,0.00138,0.7471
709,-8.17E-04,0.7445
708,-0.00121,0.74746
707,-6.75E-04,0.74956
706,-0.00133,0.75118
705,-0.00146,0.75242
704,0.00156,0.7692
703,-6.58E-04,0.76624
702,-0.00114,0.7706
701,-0.00104,0.7749
700,0.0014,0.78022
699,-0.00181,0.77692
698,7.29E-04,0.78788
697,7.15E-04,0.79218
696,5.80E-04,0.7912
695,-0.00128,0.79344
694,-0.00146,0.80318
693,-9.16E-04,0.80378
692,-7.82E-04,0.8107
691,-2.49E-04,0.81644
690,-2.86E-04,0.81522
689,-4.54E-04,0.80554
688,5.98E-04,0.8058
687,-0.00132,0.8081
686,-0.00139,0.81578
685,-0.00314,0.81534
684,-0.00291,0.8203
683,-0.00147,0.82804
682,-0.00234,0.83052
681,-0.00132,0.83614
680,0.00243,0.8457
679,0.00147,0.84856
678,-2.70E-04,0.8509
677,-0.00175,0.85498
676,-8.67E-04,0.85924
675,-0.00138,0.86214
674,1.34E-04,0.87032
673,-3.21E-04,0.87942
672,-7.77E-04,0.88374
671,-9.84E-04,0.88872
670,-0.00126,0.89182
669,-0.00182,0.89402
668,1.25E-04,0.90576
667,-5.14E-04,0.91152
666,1.88E-04,0.91696
665,-0.00242,0.91584
664,-0.01003,0.90394
663,-0.00833,0.91322
662,-5.92E-04,0.93748
661,0.00379,0.95164
660,7.55E-04,0.94774
659,-0.00183,0.95352
658,0.00186,0.9638
657,0.00169,0.96724
656,-0.00181,0.97304
655,-8.02E-04,0.98402
654,2.03E-04,0.9884
653,-0.0015,0.99036
652,-4.98E-04,0.99784
651,4.96E-04,1.00476
650,-7.71E-04,1.01386
649,-0.00125,1.01978
648,-8.47E-04,1.02548
647,-0.00215,1.03226
646,-0.00145,1.03786
645,-0.00104,1.04436
644,-0.00103,1.0551
643,-0.00187,1.06274
642,-0.00143,1.06578
641,-0.00244,1.07296
640,-0.00312,1.07954
639,-0.00209,1.08622
638,-6.66E-04,1.09974
637,-0.00141,1.10818
636,-0.00301,1.1108
635,-0.00354,1.11988
634,-0.00243,1.12934
633,-0.0013,1.13526
632,-0.00136,1.1438
631,-0.00197,1.15368
630,-0.00222,1.1601
629,-0.0028,1.16698
628,-0.00185,1.17628
627,-0.00128,1.18356
626,-0.00229,1.19536
625,-0.0036,1.20472
624,-0.00366,1.2097
623,-0.00308,1.21938
622,-0.00361,1.23008
621,-0.00328,1.24016
620,-0.0019,1.24964
619,-0.00349,1.25756
618,-0.00402,1.26554
617,-0.00326,1.27556
616,-0.00207,1.2888
615,-6.27E-04,1.30162
614,-0.00102,1.3095
613,-0.00167,1.31914
612,-0.00315,1.32556
611,-0.00411,1.33288
610,-0.00371,1.34484
609,-0.00238,1.3553
608,-0.0012,1.36754
607,-0.002,1.37942
606,-0.00269,1.38732
605,-0.00332,1.3986
604,-0.00461,1.40704
603,-0.0036,1.41682
602,-0.00198,1.42966
601,-0.00246,1.43982
600,-0.00254,1.44932
599,-0.00329,1.4595
598,-0.0026,1.4703
597,2.48E-04,1.48328
596,5.80E-04,1.49668
595,-6.59E-04,1.50652
594,-3.48E-04,1.51602
593,-1.77E-04,1.5301
592,-1.97E-04,1.54152
591,0.00125,1.55114
590,0.00189,1.5633
589,5.08E-04,1.57052
588,0.00341,1.58326
587,0.00738,1.60086
586,0.00795,1.61406
585,0.01125,1.626
584,0.0122,1.63568
583,0.01218,1.6453
582,0.0139,1.65444
581,0.01525,1.66698
580,0.01685,1.67644
579,0.02072,1.6888
578,0.02362,1.70448
